imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
4414;240;1;1;0;5345;0
4378;595;4;4;965;4821;760
4446;1001;7;9;1002;4313;966
4481;1381;11;18;953;3919;974
4481;1748;10;22;959;3520;926
4670;1811;19;32;975;3182;1347
4855;1947;17;35;878;2899;1254
5002;2077;23;49;913;2609;1256
5154;2197;22;51;880;2359;1253
5322;2236;23;52;927;2127;1385
5512;2283;25;58;905;1924;1384
5419;3583;23;57;583;97;3958
5705;3786;18;50;811;97;1979
5770;3764;9;32;894;97;1622
5801;3758;18;38;943;97;1644
6119;3256;15;37;817;97;2303
6288;3188;17;41;844;97;1902
6331;3204;14;36;854;97;1745
6379;3145;18;39;866;97;1718
6435;3051;13;38;813;97;1855
6498;3007;11;38;854;97;1873
6249;3222;15;31;825;97;2161
6235;3273;15;33;841;97;1852
6274;3246;9;35;859;97;1830
6238;3256;13;32;863;97;1837
6217;3235;11;29;827;97;2026
6224;3311;13;32;818;97;1943
6227;3261;14;35;874;97;1869
6190;3294;15;38;844;97;1901
6224;3259;15;37;826;97;1907
6256;3270;16;34;836;97;1919
6182;3301;17;39;851;97;1894
6223;3243;16;40;827;97;1899
6231;3230;15;39;856;97;1909
6294;3249;15;37;844;97;1972
6260;3236;14;31;889;97;1935
6239;3230;16;34;878;97;1894
6301;3184;14;36;810;97;1883
6315;3172;13;37;820;97;1866
6301;3214;14;33;833;97;1916
6289;3170;15;35;883;97;1855
6266;3196;5;30;841;97;1918
6225;3269;8;25;832;97;1919
6256;3236;6;17;842;97;1903
6223;3257;8;19;890;97;1945
6214;3312;5;16;845;97;1962
6195;3306;7;16;861;97;1913
6210;3331;6;16;829;97;1911
6217;3294;6;17;875;97;1942
6201;3268;9;20;895;97;1928
6193;3320;12;23;823;97;1926
6150;3342;8;23;868;97;1917
6144;3357;10;24;831;97;1889
6161;3330;11;26;804;97;1868
6156;3320;16;33;842;97;1955
6141;3339;10;29;890;97;2000
6183;3292;13;29;789;97;1873
6177;3309;10;25;819;97;1862
6199;3302;12;30;837;97;1918
6164;3318;9;28;813;97;1876
6205;3278;13;29;835;97;1924
6256;3238;9;27;818;97;1847
6240;3217;6;22;851;97;1911
6222;3262;8;20;820;97;1912
6194;3318;6;17;860;97;1986
6144;3360;4;13;843;97;1868
6127;3379;4;12;864;97;1938
6113;3381;2;10;844;97;1921
6149;3369;8;13;885;97;2005
6124;3401;7;16;814;97;1856
6159;3362;13;24;847;97;1965
6117;3368;4;20;872;97;1900
6134;3353;10;21;849;97;1973
6143;3350;11;21;826;97;1881
