imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
29;27;1;1;0;43;0
35;27;4;2;12;37;11
40;24;5;7;12;31;12
40;24;4;9;11;28;9
43;23;3;10;7;26;9
48;16;6;12;9;25;21
55;17;4;10;8;24;17
60;13;4;12;6;22;10
60;21;3;8;13;21;20
64;15;4;10;5;20;10
63;18;2;9;8;19;13
47;39;1;6;13;13;32
46;37;7;7;11;13;21
52;32;4;10;12;13;21
50;32;3;11;9;13;14
54;32;4;8;9;13;28
60;29;4;8;7;13;19
60;27;4;11;5;13;13
57;27;5;11;7;13;13
64;25;2;9;6;13;24
63;29;1;5;12;13;20
59;30;4;6;7;13;15
60;32;3;8;7;13;19
57;26;4;10;11;13;15
58;25;3;9;8;13;20
61;24;3;8;9;13;21
60;26;6;10;7;13;25
61;24;4;12;9;13;15
59;23;6;14;11;13;15
57;24;3;12;5;13;18
65;21;1;6;11;13;23
65;22;3;4;8;13;15
69;26;1;4;5;13;19
69;25;0;4;13;13;20
68;26;1;2;9;13;20
65;26;0;1;11;13;17
65;29;2;3;7;13;24
63;31;0;2;7;13;15
65;28;1;3;8;13;14
62;31;0;0;9;13;17
66;28;0;0;5;13;19
64;29;0;0;6;13;15
65;30;0;0;6;13;17
68;29;0;0;5;13;20
67;27;0;0;7;13;16
61;33;0;0;8;13;20
65;30;0;0;11;13;20
65;29;0;0;8;13;19
66;33;0;0;12;13;22
66;30;0;0;11;13;21
57;32;0;0;10;13;16
57;39;0;0;12;13;28
53;41;0;0;12;13;20
58;39;0;0;6;13;17
55;44;0;0;13;13;26
59;37;0;0;5;13;18
59;37;0;0;9;13;21
61;36;0;0;8;13;11
67;29;0;0;4;13;20
65;29;0;0;9;13;18
66;23;0;0;12;13;21
63;31;0;0;7;13;18
64;35;0;0;7;13;20
60;35;0;0;7;13;18
67;28;0;0;7;13;17
69;29;0;0;9;13;21
67;31;0;0;5;13;16
65;31;0;0;6;13;16
66;29;0;0;6;13;13
63;31;0;0;10;13;21
65;27;0;0;7;13;22
65;30;0;0;4;13;15
64;29;0;0;10;13;14
63;34;0;0;9;13;26
61;35;0;0;13;13;26
55;41;0;0;11;13;25
56;43;0;0;6;13;11
59;38;0;0;7;13;20
60;35;0;0;10;13;20
62;34;0;0;7;13;27
63;33;0;0;11;13;18
63;31;0;0;8;13;17
59;39;0;0;12;13;25
60;36;0;0;7;13;18
63;35;0;0;14;13;23
58;35;0;0;9;13;19
63;29;0;0;9;13;21
72;26;0;0;5;13;20
69;27;0;0;9;13;17
73;25;0;0;4;13;14
64;28;0;0;13;13;21
67;30;0;0;10;13;19
72;26;0;0;5;13;18
72;26;0;0;9;13;16
64;30;0;0;10;13;20
62;34;0;0;12;13;19
60;36;0;0;7;13;15
61;32;0;0;8;13;17
62;29;0;0;8;13;19
59;39;0;0;6;13;26
61;35;0;0;5;13;13
