imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
878;1152;1;1;0;7969;0
1194;1455;5;4;1012;7151;813
1565;1773;6;10;977;6435;951
1887;2023;10;18;956;5829;921
2244;2291;9;22;940;5272;1011
2870;1917;19;32;857;4778;1679
3230;2119;22;43;916;4320;1340
3551;2223;20;51;889;3919;1246
3888;2303;22;51;941;3497;1269
4241;2232;25;54;924;3140;1476
4576;2257;24;58;921;2830;1435
5614;3425;22;57;567;87;3693
5825;3634;9;39;883;87;1901
5885;3656;14;34;904;87;1704
5885;3692;13;30;828;87;1567
6150;3252;14;36;791;87;2286
6242;3240;17;37;812;87;1885
6261;3260;12;37;819;87;1739
6279;3249;14;37;880;87;1755
6354;3090;19;34;854;87;1893
6464;3045;16;38;792;87;1841
6257;3207;13;38;778;87;2100
6264;3216;19;39;862;87;1900
6262;3220;13;38;817;87;1857
6275;3240;16;39;858;87;1862
6227;3210;18;35;855;87;1976
6283;3227;16;38;837;87;1925
6356;3207;16;37;820;87;1836
6299;3230;16;37;845;87;1866
6281;3215;18;39;866;87;1933
6244;3218;21;44;836;87;1857
6217;3273;12;41;845;87;1963
6178;3288;15;38;854;87;1907
6210;3281;14;35;832;87;1883
6234;3284;14;35;813;87;1907
6261;3268;9;28;764;87;1909
6249;3267;17;33;812;87;1902
6230;3273;8;31;869;87;1909
6270;3216;16;35;808;87;1878
6288;3234;12;29;832;87;1967
6278;3212;20;40;832;87;1841
6308;3190;24;47;801;87;1906
6273;3197;15;50;866;87;1865
6233;3252;16;48;862;87;1953
6194;3265;17;36;864;87;1910
6183;3299;15;41;813;87;1890
6069;3356;23;45;882;87;1872
6126;3335;19;48;830;87;1978
6150;3311;28;58;862;87;1963
6160;3308;32;70;835;87;1932
6211;3265;18;67;858;87;1900
6253;3203;20;56;824;87;1887
6227;3197;24;56;895;87;1955
6246;3212;23;57;840;87;1919
6225;3253;29;66;844;87;1906
6158;3305;28;65;831;87;1864
6153;3314;24;63;843;87;1872
6170;3305;26;58;805;87;1876
6200;3269;25;57;833;87;1917
6220;3218;23;59;845;87;1959
6220;3227;23;54;855;87;1933
6217;3260;27;59;812;87;1891
6204;3262;22;59;812;87;1910
6190;3269;19;53;878;87;1933
6181;3274;29;58;882;87;1929
6190;3267;20;59;880;87;1919
6140;3329;21;60;867;87;1932
6137;3350;20;51;830;87;1899
6148;3317;21;53;797;87;1870
6225;3247;17;46;820;87;1896
6268;3211;16;42;837;87;1982
6289;3203;15;34;868;87;1949
6288;3216;16;36;862;87;1906
6257;3232;15;38;864;87;1894
6212;3257;11;35;876;87;1896
6290;3188;9;27;807;87;1893
6309;3184;8;22;836;87;1856
6315;3231;12;25;802;87;1915
6308;3186;10;28;810;87;1811
6274;3220;11;29;789;87;1864
6260;3232;9;24;868;87;1971
6240;3225;17;29;881;87;1926
6232;3258;10;27;811;87;1919
6252;3251;14;35;808;87;1890
6244;3221;14;34;879;87;1884
6251;3252;11;35;797;87;1942
6245;3217;20;42;861;87;1885
6219;3285;15;40;865;87;1919
6250;3244;16;40;840;87;1897
6251;3207;16;42;851;87;1914
6259;3246;17;43;823;87;1917
6183;3329;20;44;846;87;1932
6194;3314;14;36;911;87;1982
6197;3291;9;30;829;87;1877
6163;3327;16;25;893;87;1913
6202;3293;17;34;801;87;1915
6262;3246;15;38;810;87;1924
6211;3315;9;34;802;87;1866
6201;3313;13;29;810;87;1877
6229;3294;12;25;821;87;1881
6216;3300;11;30;810;87;1898
