imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
104;625;1;1;0;9270;0
489;937;5;5;982;8350;759
944;1328;8;10;982;7513;988
1358;1655;8;18;974;6758;960
1667;1977;12;23;923;6136;931
2242;1875;12;27;931;5511;1469
2683;2020;18;34;888;4984;1290
3030;2171;16;37;919;4504;1275
3348;2267;23;45;916;4080;1274
3741;2262;19;42;896;3688;1412
4034;2312;26;51;909;3337;1381
5383;3575;16;48;559;87;3847
5686;3770;25;54;815;87;2000
5776;3791;18;50;904;87;1716
5834;3714;20;54;891;87;1563
6146;3204;17;47;797;87;2263
6225;3234;20;47;811;87;1914
6338;3174;17;46;863;87;1782
6322;3197;16;46;861;87;1680
6372;3077;18;45;852;87;1859
6432;3068;18;42;805;87;1860
6113;3319;18;37;809;87;2153
6098;3397;13;33;820;87;1930
6110;3380;11;29;840;87;1867
6183;3308;12;27;819;87;1810
6233;3230;14;32;808;87;2020
6247;3216;15;36;865;87;1933
6281;3204;10;34;872;87;1922
6288;3220;12;32;838;87;1810
6246;3175;17;34;917;87;1912
6252;3248;10;27;833;87;1936
6249;3242;10;30;896;87;1984
6278;3225;15;31;803;87;1871
6317;3172;14;32;867;87;1906
6297;3217;8;27;846;87;1913
6266;3235;11;23;847;87;1903
6239;3256;15;29;830;87;1846
6214;3288;13;32;823;87;1898
6286;3200;11;35;820;87;1884
6335;3154;17;31;875;87;1961
6235;3243;17;35;862;87;1892
6260;3195;11;32;827;87;1938
6280;3201;18;38;864;87;1918
6242;3240;16;38;854;87;1916
6220;3275;13;37;804;87;1876
6228;3266;17;38;875;87;1940
6198;3317;10;35;808;87;1886
6196;3263;22;43;824;87;1851
6236;3269;26;50;862;87;2021
6233;3216;24;60;878;87;1880
6288;3210;18;57;871;87;1961
6205;3262;20;58;855;87;1878
6109;3302;22;56;874;87;1942
6155;3337;20;50;848;87;1965
6148;3353;14;43;808;87;1857
6173;3333;11;33;818;87;1894
6208;3265;18;36;862;87;1928
6252;3223;18;41;865;87;1948
6216;3246;13;41;872;87;1950
6202;3256;17;42;897;87;1905
6239;3245;18;39;836;87;1887
6234;3262;18;45;814;87;1887
6251;3224;24;46;841;87;1900
6304;3184;15;46;797;87;1898
6306;3189;18;47;839;87;1849
6265;3195;16;41;857;87;1893
6228;3231;26;48;827;87;1945
6200;3271;14;50;841;87;1910
6176;3296;18;52;833;87;1873
6230;3227;27;48;843;87;1914
6258;3202;23;51;818;87;1926
6270;3203;22;56;808;87;1852
6275;3176;16;49;819;87;1889
6292;3206;24;46;884;87;2008
6259;3251;19;45;878;87;1932
6269;3215;18;43;843;87;1877
6288;3183;11;39;845;87;1877
6286;3197;14;30;818;87;1877
6279;3220;17;37;802;87;1893
6193;3288;14;38;834;87;1890
6214;3261;22;43;823;87;1890
6205;3279;16;43;808;87;1865
6197;3269;18;45;827;87;1889
6214;3273;21;44;854;87;1959
6217;3252;20;50;819;87;1888
6221;3215;24;56;850;87;1944
6247;3235;30;62;830;87;1933
6266;3180;22;63;849;87;1871
6223;3225;27;64;863;87;1869
6228;3227;28;67;875;87;1941
6208;3221;26;69;853;87;1892
6233;3234;34;73;842;87;1907
6200;3266;35;72;842;87;1917
6206;3240;37;87;850;87;1939
6186;3236;33;91;852;87;1870
6216;3245;36;88;779;87;1901
6154;3298;42;87;824;87;1910
6213;3238;36;88;806;87;1912
6232;3234;21;80;836;87;1856
6260;3171;31;70;813;87;1847
6275;3173;30;68;774;87;1876
