imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
47;4;1;1;0;48;0
46;5;2;2;9;45;6
47;9;2;4;13;39;12
48;12;4;6;10;36;10
49;15;4;8;9;33;10
54;16;6;11;8;30;15
58;13;6;14;5;30;10
58;13;5;15;9;29;14
63;14;4;13;7;29;16
62;18;2;8;11;27;14
66;22;1;3;11;27;19
59;31;2;5;7;21;29
59;33;1;4;7;21;17
58;32;1;4;6;21;11
61;34;2;4;8;21;22
69;27;0;3;9;21;22
63;28;1;3;10;21;14
59;30;2;3;8;21;20
64;31;1;4;6;21;23
59;34;0;3;11;21;18
58;36;0;1;7;21;18
61;38;0;0;4;21;19
59;36;0;0;13;21;20
59;34;0;0;8;21;13
58;32;0;0;3;21;12
56;40;0;0;9;21;28
50;44;0;0;10;21;21
54;40;0;0;8;21;16
55;37;0;0;8;21;17
60;36;0;0;7;21;27
62;31;0;0;10;21;23
59;38;0;0;6;21;19
58;36;0;0;5;21;13
60;29;0;0;12;21;21
58;32;0;0;6;21;14
61;36;0;0;9;21;28
56;37;0;0;11;21;15
58;38;0;0;8;21;21
59;38;0;0;11;21;26
59;36;0;0;9;21;21
60;37;0;0;7;21;19
62;35;0;0;5;21;17
61;34;0;0;8;21;16
60;35;0;0;7;21;21
60;35;0;0;6;21;14
58;36;0;0;12;21;20
52;43;0;0;11;21;20
54;40;0;0;8;21;21
53;43;0;0;8;21;25
54;39;0;0;8;21;19
55;40;0;0;11;21;26
60;36;0;0;6;21;18
59;37;0;0;6;21;20
63;34;0;0;13;21;24
66;32;0;0;7;21;19
64;30;0;0;9;21;11
64;30;0;0;11;21;24
66;31;0;0;9;21;18
64;32;0;0;4;21;16
62;34;0;0;9;21;13
63;31;0;0;6;21;23
63;34;0;0;6;21;23
67;29;0;0;9;21;19
60;36;0;0;8;21;18
62;31;0;0;6;21;18
65;31;0;0;7;21;18
62;30;0;0;11;21;15
66;32;0;0;7;21;27
71;27;0;0;6;21;12
67;25;0;0;10;21;14
70;28;0;0;8;21;24
64;27;0;0;14;21;21
64;31;0;0;4;21;15
63;30;0;0;7;21;13
65;30;0;0;10;21;22
65;28;0;0;6;21;16
60;31;0;0;10;21;18
58;37;0;0;12;21;27
63;34;0;0;5;21;17
61;34;0;0;8;21;17
66;29;0;0;7;21;19
68;23;0;0;4;21;15
70;27;0;0;7;21;20
69;29;0;0;11;21;18
62;31;0;0;14;21;21
65;30;0;0;6;21;12
68;25;0;0;9;21;21
71;26;0;0;4;21;22
64;27;0;0;10;21;17
68;28;0;0;3;21;12
70;27;0;0;6;21;16
72;21;0;0;9;21;19
65;33;0;0;6;21;23
56;37;0;0;14;21;16
58;37;0;0;7;21;18
58;36;0;0;2;21;9
62;32;0;0;7;21;27
64;34;0;0;4;21;19
63;33;0;0;10;21;16
65;30;0;0;14;21;21
66;32;0;0;7;21;25
