imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
5456;19;1;1;0;4524;0
5304;409;4;3;1011;4068;792
5231;860;4;7;1020;3665;996
5190;1232;3;9;944;3329;938
5108;1616;3;9;968;3028;970
5146;1804;5;11;947;2731;1180
5296;1930;3;11;894;2448;1272
5404;2101;8;14;929;2192;1285
5523;2191;8;15;906;1990;1274
5658;2221;4;16;976;1778;1375
5784;2261;6;15;933;1608;1417
5407;3597;8;13;509;26;3929
5692;3852;4;14;798;26;2015
5741;3882;5;14;879;26;1633
5777;3819;8;17;870;26;1555
6151;3267;4;17;815;26;2333
6270;3238;7;17;881;26;1947
6295;3226;10;19;897;26;1781
6282;3256;9;25;851;26;1677
6356;3152;6;20;804;26;1903
6407;3133;4;14;835;26;1847
6115;3360;6;14;834;26;2187
6154;3385;6;13;830;26;1930
6200;3333;9;14;837;26;1813
6234;3282;8;15;830;26;1774
6245;3237;7;19;814;26;2057
6267;3234;8;22;807;26;1881
6273;3222;7;21;867;26;1909
6304;3206;13;24;818;26;1803
6265;3198;5;21;862;26;1905
6263;3228;13;22;877;26;1948
6286;3232;13;25;841;26;1968
6228;3255;10;27;810;26;1829
6253;3214;14;29;831;26;1890
6303;3220;14;29;840;26;1953
6285;3205;11;31;849;26;1910
6256;3243;7;23;893;26;1918
6211;3285;8;22;847;26;1886
6249;3294;8;21;813;26;1924
6232;3268;10;23;886;26;1887
6244;3212;12;27;843;26;1904
6266;3233;4;21;803;26;1939
6228;3251;9;20;881;26;1923
6254;3253;8;20;813;26;1876
6236;3308;11;26;818;26;1915
6218;3287;10;28;862;26;1918
6261;3259;8;24;800;26;1869
6300;3209;9;23;835;26;1885
6267;3209;6;17;847;26;1903
6282;3217;5;15;880;26;2002
6229;3253;10;19;873;26;1875
6185;3333;9;20;812;26;1879
6122;3333;5;19;836;26;1867
6104;3391;12;20;837;26;1965
6139;3389;9;22;811;26;1909
6122;3344;5;22;868;26;1858
6154;3353;8;18;833;26;2000
6168;3324;8;15;809;26;1957
6130;3343;9;21;820;26;1845
6146;3345;11;22;877;26;1974
6229;3285;8;23;824;26;1941
