imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
20;9;1;1;0;70;0
19;13;3;3;6;66;5
20;17;4;7;7;61;7
22;19;4;11;8;56;7
26;22;6;13;15;49;15
32;21;11;18;11;43;24
35;24;8;20;10;39;15
33;27;8;21;11;37;15
37;26;11;23;8;35;18
45;21;12;26;12;32;22
50;16;10;26;8;32;15
49;23;7;24;7;29;27
53;22;11;21;11;29;21
56;20;8;18;10;29;19
61;21;4;15;6;29;18
65;17;5;14;10;29;18
66;17;4;10;5;29;14
68;17;2;9;13;29;20
71;20;2;6;7;29;18
68;24;3;5;5;29;11
65;26;1;6;11;29;17
65;27;1;4;9;29;22
66;28;0;2;7;29;19
65;32;0;1;5;29;15
66;32;0;0;8;29;22
58;35;0;0;8;29;19
58;39;0;0;6;29;18
55;42;0;0;7;29;16
57;40;0;0;10;29;27
56;36;0;0;13;29;19
64;32;0;0;9;29;20
65;31;0;0;4;29;15
61;37;0;0;14;29;30
58;38;0;0;9;29;17
60;34;0;0;8;29;18
59;33;0;0;9;29;15
62;31;0;0;5;29;20
72;25;0;0;10;29;21
66;27;0;0;14;29;22
68;29;0;0;11;29;20
64;32;0;0;8;29;18
64;33;0;0;10;29;17
59;36;0;0;7;29;22
61;37;0;0;4;29;20
63;37;0;0;12;29;23
63;35;0;0;9;29;17
63;29;0;0;13;29;21
64;28;0;0;11;29;20
67;29;0;0;10;29;24
63;32;0;0;10;29;17
63;33;0;0;11;29;22
61;33;0;0;11;29;15
61;35;0;0;7;29;21
58;39;0;0;4;29;11
56;36;0;0;9;29;23
60;37;0;0;11;29;25
59;38;0;0;10;29;19
57;35;0;0;8;29;17
59;37;0;0;6;29;19
65;34;0;0;6;29;23
64;33;0;0;6;29;17
61;38;0;0;10;29;23
61;33;0;0;12;29;18
63;33;0;0;6;29;16
55;41;0;0;12;29;24
58;39;0;0;7;29;24
59;37;0;0;5;29;16
62;33;0;0;17;29;22
55;39;0;0;14;29;27
55;42;0;0;9;29;24
55;42;0;0;7;29;15
61;34;0;0;13;29;18
65;32;0;0;11;29;29
64;34;0;0;5;29;19
62;32;0;0;9;29;12
62;32;0;0;10;29;17
68;26;0;0;7;29;20
70;20;0;0;6;29;14
69;27;0;0;12;29;24
66;32;0;0;7;29;18
66;32;0;0;9;29;19
63;31;0;0;10;29;15
69;26;0;0;3;29;19
66;27;0;0;8;29;18
68;28;0;0;6;29;17
70;27;0;0;6;29;14
66;31;0;0;6;29;19
67;29;0;0;5;29;16
71;25;0;0;5;29;20
74;23;0;0;10;29;18
68;25;0;0;12;29;20
74;22;0;0;8;29;20
69;21;0;0;9;29;13
70;27;0;0;9;29;23
71;27;0;0;9;29;18
68;28;0;0;9;29;17
63;30;0;0;9;29;11
58;35;0;0;10;29;22
57;36;0;0;12;29;23
60;39;0;0;6;29;22
57;39;0;0;9;29;15
