imunes;pseudo_imunes;infectantes_gerados;doentes;acidentados;sadios;nacimentos
3086;1718;1;1;0;5195;0
3144;1953;5;5;952;4703;753
3265;2240;6;10;935;4245;885
3451;2493;11;19;954;3849;997
3591;2731;14;28;1005;3447;980
4241;2167;18;39;791;3114;1982
4535;2305;17;43;897;2805;1361
4732;2400;23;48;902;2529;1301
4874;2530;21;50;896;2293;1287
5163;2399;21;53;900;2056;1553
5373;2443;22;51;905;1862;1437
5507;3539;15;47;632;100;3578
5794;3663;21;51;826;100;1888
5873;3656;18;48;889;100;1724
5904;3637;16;44;940;100;1687
6160;3242;23;48;737;100;2246
6226;3261;18;49;835;100;1902
6282;3215;16;41;892;100;1799
6276;3220;9;32;880;100;1756
6300;3170;15;28;793;100;1833
6368;3137;6;21;852;100;1855
6175;3295;7;22;772;100;2096
6190;3304;12;19;865;100;1903
6171;3321;7;18;869;100;1888
6229;3299;4;16;823;100;1862
6237;3278;10;16;798;100;1995
6272;3283;12;20;820;100;1894
6225;3292;7;22;868;100;1881
6244;3257;11;26;902;100;1879
6293;3232;5;18;852;100;1965
6295;3214;21;31;894;100;1897
6271;3220;12;33;828;100;1947
6232;3253;9;34;829;100;1862
6294;3225;9;22;819;100;1888
6273;3242;11;22;882;100;1918
6279;3222;13;26;857;100;1937
6256;3226;13;32;810;100;1826
6327;3168;16;37;802;100;1841
6300;3181;13;35;838;100;1934
6309;3160;15;35;799;100;1900
6286;3187;12;33;839;100;1895
6218;3254;14;34;858;100;1881
6267;3203;14;30;857;100;1923
6295;3226;9;27;864;100;1943
6261;3224;12;26;876;100;1907
6238;3277;16;31;840;100;1931
6189;3307;12;36;855;100;1901
6194;3298;15;38;893;100;1965
6250;3254;11;33;795;100;1862
6258;3227;11;29;854;100;1983
6254;3230;12;26;884;100;1923
6219;3262;14;31;822;100;1880
6218;3297;15;34;839;100;1887
6213;3240;17;39;857;100;1871
6269;3249;18;42;834;100;1965
6247;3240;20;47;801;100;1799
6286;3200;19;45;836;100;1950
6179;3299;13;42;878;100;1924
6194;3304;17;39;865;100;1968
6224;3280;16;38;868;100;1924
6244;3261;6;32;844;100;1914
6274;3253;8;27;804;100;1906
6285;3223;11;22;832;100;1883
6248;3255;10;26;862;100;1922
6169;3318;14;28;837;100;1898
6185;3323;12;28;842;100;1901
6127;3340;18;32;858;100;1930
6114;3343;15;36;848;100;1904
6154;3330;14;35;818;100;1971
6110;3364;13;33;885;100;1945
6125;3342;8;29;794;100;1880
6158;3297;20;35;851;100;1896
6123;3346;15;37;895;100;1962
6154;3309;10;39;846;100;1945
6209;3298;18;37;836;100;1931
6223;3287;11;32;876;100;1897
6220;3280;9;29;873;100;1964
6249;3246;16;31;845;100;1902
6264;3248;16;35;814;100;1882
6294;3195;13;36;817;100;1833
6318;3176;15;34;793;100;1899
6291;3222;7;29;854;100;1921
6270;3227;12;26;915;100;1963
6256;3267;11;24;868;100;1897
6197;3296;9;26;849;100;1877
6217;3292;14;25;852;100;1975
6247;3256;14;28;764;100;1861
6262;3245;11;30;872;100;1986
6245;3275;9;27;866;100;1937
6249;3223;12;28;856;100;1905
6262;3225;12;27;833;100;1850
6297;3189;14;31;859;100;1922
6332;3156;9;27;821;100;1898
6333;3177;9;19;856;100;1905
6309;3190;7;18;869;100;1848
6195;3284;7;18;859;100;1924
6193;3279;13;24;851;100;1883
6236;3239;12;27;852;100;1960
6209;3274;11;29;914;100;1974
6229;3288;9;28;862;100;2000
6164;3316;13;31;844;100;1819
